task,labels,bbox,modality,labels_present,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,slice_time_sec
Task01_BrainTumour,"1, 2, 3",20,FLAIR,2.365021328458257,0.4539873857404022,0.11645917123705057,0.37972821450335165,0.14651206581352832,4119.381170018281,3440.8875685557587,1615.8924436319317,57600.0,0.3357698049969531
Task03_Liver,1,10,CT,1.0,0.7712165479681609,0.31993697109342273,0.7293695643066611,0.21334423963133642,19538.846459991622,20240.28236279849,17386.16401340595,262144.0,0.41959769585253454
Task09_Spleen,1,10,CT,1.0,0.7905559467174119,0.4122876308277831,0.8621599429115129,0.4578226450999049,4687.5071360608945,4887.141769743102,3985.7583254043766,262144.0,0.3562981921979067
Task01_BrainTumour,"1, 2, 3",15,FLAIR,2.365021328458257,0.5416842474101158,0.17494932967702623,0.46614482023156606,0.16489171237050576,3423.1605728214504,2739.506093845216,1615.8924436319317,57600.0,0.307788056063376
Task10_Colon,1,10,CT,1.0,0.5774780669144981,0.23489237918215614,0.68765,0.29961022304832713,2474.752788104089,2036.7620817843865,1347.2881040892194,262144.0,0.34785278810408915
Task04_Hippocampus,"1, 2",0,MRI,1.3454627812169713,0.772072142533595,0.8320150988977805,0.6130466555941416,0.6898118526347577,134.49856560471085,94.76415521666918,129.36041069001962,1760.051789219387,0.4111381398157934
Task03_Liver,1,3,CT,1.0,0.8152553833263511,0.38125421030582324,0.757597318810222,0.25062626728110593,19385.287180561376,19018.264558022624,17386.16401340595,262144.0,0.4012886887306242
Task05_Prostate,"1, 2",3,T2,1.6357894736842105,0.8803042105263158,0.3811861052631579,0.838741894736842,0.31585178947368425,3663.6652631578945,2800.6926315789474,3437.221052631579,99623.34315789473,0.3197953684210526
Task06_Lung,1,0,CT,1.0,0.7858849728424865,0.619949004224502,0.5447124321062161,0.23987694628847317,854.3753771876886,660.2305371152686,1065.347616173808,262144.0,0.4829919130959565
Task10_Colon,1,3,CT,1.0,0.7136721189591078,0.3675903345724907,0.6771578066914498,0.3767039033457249,2002.1654275092937,1454.8494423791822,1347.2881040892194,262144.0,0.33885464684014865
